family,n_estimators,learning_rate,loss
0,199,0.018114313855126615,exponential
1,240,0.050179864961251486,exponential
2,101,0.01518339010632293,exponential
3,488,0.12224929668178482,exponential
4,163,0.0419735415261885,exponential
5,257,0.03401768256685732,exponential
6,52,0.011045693956624152,linear
7,245,0.014120165861559337,exponential
8,50,0.011122288906390165,exponential
9,347,0.010094922460215594,linear
10,223,0.010032374268864823,linear
11,56,0.010504501613248113,exponential
12,52,0.01636748670565695,linear
13,54,0.01863093570654798,square
14,50,0.030973852220772143,exponential
15,128,0.02024106614383555,exponential
16,456,0.9509338251968523,linear
17,137,0.06842430447772045,square
18,209,0.016193796236376328,square
19,61,0.010071235578392474,exponential
20,54,0.017894837735728322,exponential
21,51,0.011578964258193181,linear
22,413,0.02779553786402333,exponential
23,50,0.02050421544987973,exponential
24,65,0.018492444751721585,linear
25,135,0.03827992471284891,exponential
26,56,0.015948429246217685,exponential
27,322,0.010113828515046433,exponential
28,51,0.011668870070468835,linear
29,249,0.01924442130503354,exponential
30,280,0.0897579873600005,linear
31,469,0.5047716108459985,linear
32,201,0.02123390362790371,exponential
